               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.014577,             0.00759,                   0,             0.98347,             0.98007,             0.99095,              0.7464,             0.01966,           0.0066006,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.014623,           0.0078808,                   0,             0.97952,             0.98188,             0.99064,             0.75098,            0.019575,           0.0065347,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.013935,           0.0077169,                   0,             0.98157,             0.98188,              0.9909,             0.74846,            0.019666,           0.0066127,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.013985,           0.0074213,                   0,             0.98476,              0.9837,             0.99135,             0.74317,            0.019912,           0.0065798,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.014309,           0.0076631,                   0,             0.97661,              0.9832,             0.99014,             0.74282,            0.019879,           0.0067124,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.014105,           0.0073457,                   0,             0.97944,              0.9837,             0.99004,             0.74939,            0.019641,           0.0066314,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.013906,           0.0074261,                   0,             0.98374,             0.98664,             0.99142,             0.74723,            0.019672,           0.0065813,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.014035,           0.0073874,                   0,             0.98204,             0.98188,             0.99109,             0.74857,            0.019525,           0.0065264,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.013992,           0.0074977,                   0,             0.98545,             0.98167,             0.99155,             0.75089,            0.019538,           0.0065906,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.013697,           0.0073478,                   0,             0.98256,             0.97645,             0.99029,             0.74531,            0.019935,           0.0067254,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.013546,           0.0072415,                   0,             0.98424,             0.97645,             0.99044,             0.75074,            0.019489,           0.0066987,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.013616,           0.0074574,                   0,             0.98284,              0.9837,             0.99102,             0.75436,            0.019296,           0.0066194,                   0,            0.002476,            0.002476,            0.002476
